Subject ID,Duration,PK OR,PK Terms,PK Total,Intrinsic Load,Extraneous Load,Germane Load,Head Score,Tired Dif,Stress Dif,Annoy Dif,Bored Dif,Distract Dif,Retention OR1,Retention OR2,Retention OR Total,Retention OR %,Retention MC,Retention MC %,Retention Total,Retention Total %,Transfer MC,Transfer MC%,Transfer OR,Transfer OR%,Transfer Total,Transfer Total %,Age ,Gender,Fluency,Native,Relevancy,Animated?,Condition
163,14.93333333,0,0,2,2.666666667,4,6.666666667,3,-1,1,4,-1,-1,0,1,1,0.047619048,6,0.428571429,7,0.2,2,0.666666667,3,0.272727273,5,0.357142857,20,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
164,16.41666667,2,13,19,7,9,7,3,0,-1,-2,1,0,1,0,1,0.047619048,9,0.642857143,10,0.285714286,2,0.666666667,3,0.272727273,5,0.357142857,26,Male,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
165,18.21666667,0,3,4,5,9,5.333333333,3,0,3,2,2,0,1,1,2,0.095238095,3,0.214285714,5,0.142857143,1,0.333333333,3,0.272727273,4,0.285714286,21,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
166,10.56666667,0,3,4,3.333333333,4.5,8,3,2,5,2,3,2,0,0,0,0,9,0.642857143,9,0.257142857,3,1,3,0.272727273,6,0.428571429,19,Male,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
167,14.55,1,6,8,4.333333333,6,8,3,0,1,1,1,0,0,0,0,0,7,0.5,7,0.2,2,0.666666667,2,0.181818182,4,0.285714286,22,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
168,18.8,0,6,7,9.666666667,10,6,3,-1,0,0,2,-1,1,1,2,0.095238095,11,0.785714286,13,0.371428571,2,0.666666667,3,0.272727273,5,0.357142857,23,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
169,15.8,2,9,13,6.666666667,6,6.666666667,3,0,0,-1,0,-1,3,2,5,0.238095238,10,0.714285714,15,0.428571429,2,0.666666667,1,0.090909091,3,0.214285714,20,Male,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
170,16.76666667,0,7,12,9,7.5,7,2,-4,-4,-4,-2,-3,1,1,2,0.095238095,9,0.642857143,11,0.314285714,3,1,2,0.181818182,5,0.357142857,18,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
171,27.3,0,1,2,3.333333333,7,6.666666667,2,0,0,0,1,-1,3,2,5,0.238095238,13,0.928571429,18,0.514285714,1,0.333333333,3,0.272727273,4,0.285714286,19,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
172,14.63333333,0,4,5,3,5.5,4,1,2,0,-1,0,0,0,1,1,0.047619048,8,0.571428571,9,0.257142857,2,0.666666667,3,0.272727273,5,0.357142857,22,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
173,24.5,0,6,8,8,8,6.666666667,3,3,3,1,2,1,2,2,4,0.19047619,9,0.642857143,13,0.371428571,1,0.333333333,2,0.181818182,3,0.214285714,19,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
174,24.33333333,1,6,10,6.333333333,5,6.666666667,3,1,1,1,1,2,0,1,1,0.047619048,5,0.357142857,6,0.171428571,2,0.666666667,1,0.090909091,3,0.214285714,22,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
175,13.15,0,4,5,3,8,6.333333333,2,0,-1,0,0,2,0,1,1,0.047619048,8,0.571428571,9,0.257142857,2,0.666666667,2,0.181818182,4,0.285714286,21,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
