Participant ID ,Qualtrics ID,Duration (min),PK OR ,PK Self-Rating,PK Terms,PK Total,Intrinsic Load,Extraneous Load,Germane Load,Retention OR1,Retention OR2,Retention OR3,OR Retention Total,MC Retention,Retention Total,Transfer OR1,Transfer OR2,Transfer OR3,Transfer OR Total,Transfer MC,Transfer Total,Delay,Relevancy,Animated?,Fluent,Native
21,R_3EE8YSEWHDhj8nA,25.06666667,1,1,6,8,6,6.25,5.666666667,4,1,1,6,6,12,0,0,0,0,1,1,Delayed,Irrelevant,Static,1,2
22,R_2q96SK7YhErQorK,12.78333333,0,1,3,4,6,9,6.333333333,2,0,1,3,4,7,0,0,1,1,2,3,Delayed,Irrelevant,Animation,1,1
23,R_3iU8KWuG2VIySsr,20.18333333,1,1,9,11,7.666666667,10,9,3,2,2,7,8,15,1,1,1,3,1,4,Immediate,Relevant,Animation,1,1
24,R_1BUXptzoBDNZT1F,16.35,0,1,3,4,4.666666667,8,5,3,0,0,3,8,11,2,2,0,4,0,4,Delayed,Relevant,Static,1,2
25,R_1LC0QSTbLID7ntL,2672.183333,0,1,0,1,5.333333333,7,8.333333333,2,0,1,3,5,8,0,1,0,1,2,3,Immediate,Relevant,Animation,1,2
26,R_3mW9h21jrFq3FgR,16.61666667,0,3,0,3,7.666666667,9.25,4.666666667,2,0,1,3,7,10,2,1,1,4,3,7,Delayed,Irrelevant,Static,1,1
27,R_6GvdvgU5hCxQACJ,19.95,0,3,4,7,6,7.25,8.666666667,2,0,0,2,7,9,1,1,0,2,1,3,Immediate,Irrelevant,Animation,1,1
28,R_1KllJXROJ8j95M8,23.03333333,3,3,4,10,3.666666667,6,6.666666667,2,3,2,7,13,20,1,1,0,2,3,5,Immediate,Relevant,Static,1,1
29,R_2WTE1dyvXaSVXzo,32.13333333,0,1,5,6,1.333333333,6,4,2,0,1,3,6,9,0,1,0,1,1,2,Delayed,Irrelevant,Animation,1,2
30,R_1GJ3J2TqdYHz3Vl,18.56666667,1,2,6,9,3,4.5,6.666666667,4,2,2,8,13,21,1,1,0,2,2,4,Immediate,Irrelevant,Static,1,2
31,R_2WMAtNQNUhczLkU,19.95,1,1,2,4,4,7.5,8.333333333,3,1,4,8,13,21,1,1,0,2,1,3,Delayed,Irrelevant,Static,1,1
32,R_11hF4fW5Yy8E6KV,19.96666667,0,1,4,5,2.666666667,9.25,8,4,0,2,6,10,16,1,1,0,2,2,4,Immediate,Relevant,Animation,1,1
33,R_2dopivNSGxdbUmP,20.85,0,2,4,6,8.666666667,9.5,8.666666667,3,1,2,6,11,17,0,1,1,2,2,4,Delayed,Relevant,Static,1,1
34,R_2wBKpGKjhvBdy93,19.9,0,1,3,4,6,7.25,7.333333333,2,3,3,8,9,17,2,1,0,3,1,4,Immediate,Relevant,Static,1,1
35,R_BPy0G3EYOykrHxf,24.96666667,1,2,4,7,7,9.25,9.333333333,5,0,3,8,14,22,1,1,1,3,2,5,Delayed,Irrelevant,Animation,1,1
36,R_XYgs47sGFqpIG2d,24.98333333,0,2,7,9,4,6,4,3,0,3,6,11,17,1,2,0,3,0,3,Delayed,Irrelevant,Static,1,2
37,R_8et4gyH1n2irI5P,25.25,0,1,8,9,7.666666667,7.75,6,4,0,0,4,11,15,0,2,0,2,1,3,Immediate,Relevant,Animation,1,2
38,R_3fdzv3ghyr7MtgO,20.56666667,1,1,7,9,6,7.75,7.666666667,4,0,1,5,9,14,1,1,1,3,2,5,Immediate,Irrelevant,Animation,1,2
39,R_1MRsIWJNjDHB97u,21.11666667,0,4,6,10,8,8.75,6.666666667,3,0,0,3,5,8,2,2,0,4,2,6,Delayed,Relevant,Animation,1,2
40,R_3pa2bkwkrrE0IMw,31.48333333,1,3,10,14,7.333333333,9,8.333333333,5,4,1,10,12,22,1,1,0,2,2,4,Delayed,Irrelevant,Animation,1,1
41,R_1Q4P0vJg32G12Yj,18.28333333,0,1,1,2,7.666666667,9,5,3,3,0,6,10,16,2,1,0,3,2,5,Immediate,Relevant,Animation,1,1
42,R_2BlnOTTOM8XV5DA,23.68333333,1,2,8,11,7.333333333,6.75,7.666666667,3,0,3,6,7,13,1,2,1,4,2,6,Delayed,Irrelevant,Static,1,2
43,R_2bJpejkJpmXA0D3,14.53333333,0,1,5,6,6.666666667,9,7.666666667,2,0,3,5,7,12,2,1,1,4,2,6,Immediate,Irrelevant,Static,1,1
44,R_6YfJJyt8yUYv2JH,22.35,1,1,12,14,7.333333333,8.75,6,5,3,2,10,9,19,1,1,0,2,2,4,Delayed,Relevant,Animation,1,2
45,R_2V2t4RD6fHhKUze,19.31666667,1,1,1,3,6,8.25,5,4,0,0,4,7,11,0,0,1,1,0,1,Immediate,Irrelevant,Animation,1,1
46,R_22WFb0uaNxx99IU,20.65,1,3,6,10,5,7.5,8.666666667,4,4,3,11,11,22,2,1,0,3,3,6,Immediate,Relevant,Static,1,1
47,R_ONWnjronxfYJ1pn,20.6,0,1,7,8,5.333333333,7.25,4.333333333,2,2,0,4,6,10,1,2,1,4,1,5,Delayed,Relevant,Static,1,1
48,R_1hMS8CcRDyS3ZFK,22.28333333,1,1,2,4,7.333333333,8.5,3,2,0,0,2,9,11,0,1,1,2,2,4,Delayed,Relevant,Animation,1,2
49,R_8iUeqG1Qnjznv4l,22.01666667,1,2,4,7,7,9,7,5,1,0,6,10,16,1,1,0,2,2,4,Immediate,Irrelevant,Animation,1,2
50,R_32W37VkcAh3tnII,23.31666667,0,2,9,11,4.666666667,7,8,4,2,3,9,10,19,1,0,1,2,3,5,Delayed,Irrelevant,Static,1,1
51,R_3HGF3WLM5Zz2DN5,16.36666667,1,1,2,4,2.333333333,3.75,7.333333333,2,0,2,4,12,16,1,1,0,2,2,4,Immediate,Irrelevant,Animation,1,1
52,R_Z33XNrf8tbtarLP,25.03333333,0,2,0,2,3.666666667,6.25,7.333333333,1,0,1,2,11,13,2,1,0,3,3,6,Delayed,Irrelevant,Static,1,2
53,R_2cpaxyXA62U5ElP,25.46666667,0,3,0,3,6,7.25,4,4,1,0,5,4,9,1,0,0,1,1,2,Immediate,Relevant,Static,1,1
54,R_3JbiyD3mgQJwkKN,17.95,2,1,1,4,6.333333333,8,7.333333333,0,0,2,2,7,9,1,1,1,3,2,5,Delayed,Irrelevant,Animation,1,2
55,R_3JmU31L2ZwJrYDW,19.51666667,1,3,10,14,3.666666667,9,8.333333333,4,1,2,7,11,18,1,1,0,2,3,5,Delayed,Relevant,Animation,1,1
56,R_2ANedMnWsT0Hcp7,20.5,1,3,4,8,3.666666667,9,5,3,0,0,3,9,12,2,1,1,4,2,6,Immediate,Relevant,Static,1,1
57,R_21pjHvLeB3WHR4h,23.11666667,1,1,2,4,2,7.5,2.666666667,2,1,0,3,8,11,0,1,0,1,1,2,Immediate,Irrelevant,Static,1,1
58,R_31cnFFB4SUGYveU,47.45,0,1,5,6,8,8.5,6.666666667,4,0,1,5,9,14,1,1,1,3,2,5,Immediate,Relevant,Static,1,2
59,R_ONZw4HhvT1HHpPH,31.96666667,0,2,1,3,7.666666667,8.5,5,4,1,2,7,10,17,1,0,0,1,2,3,Delayed,Irrelevant,Animation,1,2
60,R_eqVJW6o5rzdEe77,46.81666667,0,1,5,6,5,5.75,6.666666667,4,2,4,10,12,22,2,1,0,3,2,5,Delayed,Irrelevant,Static,1,1
61,R_10raPbd4fouT9K7,21.18333333,2,4,12,18,3.333333333,5.75,6.333333333,5,6,3,14,10,24,1,1,1,3,3,6,Delayed,Irrelevant,Static,1,1
62,R_3073PAnmzOqzxDo,28.13333333,2,2,8,12,4.666666667,7,5.333333333,5,5,3,13,13,26,2,1,0,3,1,4,Immediate,Relevant,Animation,1,1
63,R_1Qi8KRTgvSmusYx,26.05,2,1,5,8,5.666666667,8.5,6.333333333,4,3,2,9,12,21,1,1,1,3,1,4,Immediate,Relevant,Animation,1,1
64,R_3lMHDXm7iXbddm9,16.15,0,1,3,4,6.666666667,8.25,6.333333333,3,0,0,3,5,8,2,1,0,3,2,5,Delayed,Relevant,Static,1,2
65,R_2eQGE4rOsAyyEAK,17.85,0,1,2,3,3,9,9.333333333,3,0,1,4,6,10,2,1,1,4,2,6,Immediate,Irrelevant,Animation,1,1
66,R_241qLxD6L5cXTsM,20.28333333,1,2,6,9,7.333333333,7.75,6.666666667,3,0,2,5,11,16,1,2,1,4,2,6,Immediate,Irrelevant,Animation,1,1
67,R_3DhjuTsSTL3AQSV,16.75,0,1,8,9,5.333333333,9.5,7,2,0,0,2,9,11,1,2,1,4,1,5,Delayed,Irrelevant,Static,1,2
68,R_3n0Pt1iWHwMhtQt,23.43333333,0,1,4,5,4,7.5,5.666666667,1,0,1,2,5,7,0,1,0,1,2,3,Delayed,Relevant,Static,1,2
69,R_3erF9LcJO4CwaLn,11.46666667,1,2,2,5,2.333333333,5.5,5.333333333,2,0,0,2,7,9,1,1,0,2,1,3,Immediate,Relevant,Animation,1,1
70,R_3iJOajCiVtMpx3N,18.11666667,0,3,8,11,5,6.75,7,1,1,2,4,12,16,0,0,0,0,1,1,Immediate,Irrelevant,Static,1,1
71,R_1hJZYXk6wAefHCZ,25.5,0,2,0,2,6.333333333,6.75,6.333333333,0,1,1,2,8,10,0,1,1,2,1,3,Delayed,Irrelevant,Animation,1,2
72,R_XmJ93jmUOYrZEsN,19.23333333,1,3,5,9,6.333333333,8.75,8.333333333,2,0,0,2,10,12,0,0,0,0,3,3,Immediate,Relevant,Static,1,2
73,R_24NaM0FLpOjRw89,21.5,1,2,4,7,7.333333333,9.5,0.666666667,2,0,1,3,7,10,1,1,1,3,1,4,Delayed,Relevant,Animation,1,2
74,R_V2X53o0MrbdNoKR,22.78333333,0,1,13,14,6,9,8,0,1,2,3,7,10,0,1,0,1,1,2,Immediate,Relevant,Animation,1,2
75,R_3MLrFK8lJTCmrD3,16.8,1,2,3,6,7,8.5,5.666666667,3,0,2,5,8,13,0,1,0,1,1,2,Immediate,Irrelevant,Animation,1,2
76,R_2CxMoSUhArYZmvq,20.18333333,0,1,6,7,3,6.75,8.333333333,1,0,0,1,8,9,1,1,0,2,2,4,Delayed,Irrelevant,Static,1,2
77,R_2xAjBxoeq6A0fRB,25.28333333,0,4,4,8,5.666666667,7.5,2.666666667,3,0,2,5,9,14,1,1,0,2,2,4,Delayed,Relevant,Static,1,2
78,R_Q634KGkgW0zL1xD,15.7,0,2,3,5,1.666666667,5.75,2,1,0,0,1,8,9,0,1,1,2,2,4,Immediate,Relevant,Animation,1,2
79,R_4GhbkiEfciEJX0t,17.65,1,1,8,10,5,4.5,5.333333333,0,0,1,1,4,5,1,0,0,1,1,2,Delayed,Irrelevant,Static,1,2
80,R_3lVSAwMtp5YEmng,17.45,0,1,4,5,8,8.75,6.666666667,2,0,2,4,5,9,1,0,1,2,0,2,Delayed,Irrelevant,Animation,1,2
81,R_21pqQXNhyZi37Si,31.7,2,2,11,15,2.666666667,6.25,5.666666667,2,2,1,5,9,14,1,1,0,2,1,3,Immediate,Relevant,Static,1,2
82,R_3KPDpvS5a5CcfoC,12.25,0,2,3,5,8.666666667,8,7.666666667,3,0,0,3,6,9,0,1,0,1,1,2,Immediate,Relevant,Static,1,2
83,R_1hMa4izeMuA2kyq,13.85,0,1,3,4,4.666666667,9.25,8.333333333,1,0,0,1,5,6,0,0,0,0,0,0,Delayed,Relevant,Animation,1,2
84,R_BGsFyO9prKlndBv,17.21666667,0,1,0,1,2.666666667,8.25,6.666666667,4,3,2,9,13,22,2,2,0,4,2,6,Immediate,Irrelevant,Static,1,1
85,R_21icMJJWEdgUPdN,24.06666667,1,2,0,3,4,9.5,9,6,2,2,10,12,22,1,2,0,3,1,4,Delayed,Irrelevant,Animation,1,1
86,R_2y17Fuxw7kWuzqJ,24.41666667,0,1,11,12,1.666666667,5.25,3.333333333,2,0,2,4,7,11,1,2,1,4,3,7,Delayed,Relevant,Animation,1,2
87,R_eypUdj39r2WYqhr,28.25,1,1,8,10,3.666666667,5.5,5.333333333,2,0,2,4,4,8,0,1,1,2,2,4,Immediate,Relevant,Static,1,2
88,R_1eLBO4zaG8ubacL,18.81666667,0,2,3,5,5.333333333,8.5,5.666666667,0,0,0,0,5,5,1,1,1,3,1,4,Immediate,Irrelevant,Animation,1,1
89,R_2YPKimiudeQggmx,21.33333333,2,3,6,11,9,9,5,2,0,1,3,2,5,0,0,1,1,3,4,Delayed,Irrelevant,Animation,1,1
90,R_OCOYk6XjVeq0O41,21.38333333,0,1,9,10,5,4,7,2,0,1,3,9,12,2,0,1,3,2,5,Delayed,Irrelevant,Static,1,1
91,R_1OJGZLmDRanehTW,25.8,0,1,0,1,2.333333333,6,6,2,0,0,2,5,7,0,0,0,0,2,2,Immediate,Relevant,Animation,1,2
92,R_9EMVtJxYpcGPG3T,19.01666667,1,2,7,10,6.666666667,8.5,4.666666667,4,5,3,12,11,23,1,1,0,2,3,5,Immediate,Irrelevant,Static,1,2
93,R_1IZbgPCfPmdiT4T,19.13333333,1,1,8,10,6.333333333,2.75,3.666666667,3,0,0,3,6,9,1,1,1,3,2,5,Delayed,Relevant,Static,1,2
94,R_3CJcgifulSUxRJO,9.466666667,1,3,7,11,6,9,4.333333333,1,1,2,4,10,14,1,2,0,3,2,5,Immediate,Relevant,Static,1,1
